PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATE,date
1,4.347826087,4.347826087,2/7/2021
1,3.291814947,3.291814947,2/8/2021
1,4.364569961,4.364569961,2/9/2021
2,4.246284501,4.246284501,2/10/2021
0,4.505494505,4.505494505,2/11/2021
2,5.23415978,5.23415978,2/12/2021
2,4.260089686,4.260089686,2/13/2021
0,6.948640483,6.948640483,2/14/2021
1,4.096834264,4.096834264,2/15/2021
0,3.064516129,3.064516129,2/16/2021
0,3.640776699,3.640776699,2/17/2021
1,2.81848929,2.81848929,2/18/2021
4,3.194444444,3.194444444,2/19/2021
1,5.074626866,5.074626866,2/20/2021
0,3.532608696,3.532608696,2/21/2021
1,1.634877384,1.634877384,2/22/2021
3,3.420523139,3.420523139,2/23/2021
1,3.010471204,3.010471204,2/24/2021
1,3.096774194,3.096774194,2/25/2021
0,3.462050599,3.462050599,2/26/2021
1,4.819277108,4.819277108,2/27/2021
1,4.273504274,4.273504274,2/28/2021
0,2.523659306,2.523659306,3/1/2021
0,1.737242128,1.737242128,3/2/2021
1,3.102961918,3.102961918,3/3/2021
1,4.298356511,4.298356511,3/4/2021
1,1.296829971,1.296829971,3/5/2021
0,5.147058824,5.147058824,3/6/2021
1,5.357142857,5.357142857,3/7/2021
1,2.842105263,2.842105263,3/8/2021
0,2.371916509,2.371916509,3/9/2021
0,4.832713755,4.832713755,3/10/2021
2,4.66045273,4.66045273,3/11/2021
0,4.475308642,4.475308642,3/12/2021
1,3.139013453,3.139013453,3/13/2021
0,5.294117647,5.294117647,3/14/2021
0,3.555555556,3.555555556,3/15/2021
1,2.124183007,2.124183007,3/16/2021
0,3.034134008,3.034134008,3/17/2021
0,3.916083916,3.916083916,3/18/2021
0,2.883156297,2.883156297,3/19/2021
0,4.516129032,4.516129032,3/20/2021
1,5.974842767,5.974842767,3/21/2021
3,2.88153682,2.88153682,3/22/2021
1,3.12837109,3.12837109,3/23/2021
0,3.281027104,3.281027104,3/24/2021
3,4.481434059,4.481434059,3/25/2021
0,4.530201342,4.530201342,3/26/2021
2,8.868501529,8.868501529,3/27/2021
2,6.172839506,6.172839506,3/28/2021
4,5.333333333,5.333333333,3/29/2021
2,3.0651341,3.0651341,3/30/2021
0,3.516819572,3.516819572,3/31/2021
1,3.846153846,3.846153846,4/1/2021
0,4.674457429,4.674457429,4/2/2021
0,3.909465021,3.909465021,4/3/2021
0,5.592105263,5.592105263,4/4/2021
1,3.533568905,3.533568905,4/5/2021
0,4.166666667,4.166666667,4/6/2021
0,5.882352941,5.882352941,4/7/2021
1,4.671717172,4.671717172,4/8/2021
7,5.04587156,5.04587156,4/9/2021
3,10.02785515,10.02785515,4/10/2021
5,7.570977918,7.570977918,4/11/2021
1,5.115712546,5.115712546,4/12/2021
2,4.121687929,4.121687929,4/13/2021
15,4.02173913,4.02173913,4/14/2021
3,5.736636245,5.736636245,4/15/2021
1,5.601317957,5.601317957,4/16/2021
1,10.82474227,10.82474227,4/17/2021
0,8.554572271,8.554572271,4/18/2021
0,4.857444562,4.857444562,4/19/2021
1,4.98783455,4.98783455,4/20/2021
4,6.932153392,6.932153392,4/21/2021
15,3.762827822,3.762827822,4/22/2021
19,6.451612903,6.451612903,4/23/2021
3,7.317073171,7.317073171,4/24/2021
2,5.83090379,5.83090379,4/25/2021
13,6.016847172,6.016847172,4/26/2021
0,6.241699867,6.241699867,4/27/2021
4,6.873315364,6.873315364,4/28/2021
2,6.569343066,6.569343066,4/29/2021
1,8.542713568,8.542713568,4/30/2021
0,6.906077348,6.906077348,5/1/2021
1,8.465608466,8.465608466,5/2/2021
2,4.447115385,4.447115385,5/3/2021
3,4.785276074,4.785276074,5/4/2021
1,4.078947368,4.078947368,5/5/2021
4,5.103668262,5.103668262,5/6/2021
5,6.126482213,6.126482213,5/7/2021
0,5.797101449,5.797101449,5/8/2021
1,5.483870968,5.483870968,5/9/2021
0,3.076923077,3.076923077,5/10/2021
5,3.526093089,3.526093089,5/11/2021
0,4.96124031,4.96124031,5/12/2021
6,4.270986745,4.270986745,5/13/2021
0,4.891304348,4.891304348,5/14/2021
0,7.051282051,7.051282051,5/15/2021
9,7.262569832,7.262569832,5/16/2021
4,3.475513428,3.475513428,5/17/2021
3,3.558052434,3.558052434,5/18/2021
5,4.275092937,4.275092937,5/19/2021
0,4.474272931,4.474272931,5/20/2021
2,4.6875,4.6875,5/21/2021
0,4.347826087,4.347826087,5/22/2021
0,6.993006993,6.993006993,5/23/2021
0,4.107142857,4.107142857,5/24/2021
1,2.888888889,2.888888889,5/25/2021
1,3.803131991,3.803131991,5/26/2021
7,4.188481675,4.188481675,5/27/2021
1,2.72479564,2.72479564,5/28/2021
3,4.237288136,4.237288136,5/29/2021
3,6.153846154,6.153846154,5/30/2021
6,2.272727273,2.272727273,5/31/2021
0,5.035971223,5.035971223,6/1/2021
0,4.310344828,4.310344828,6/2/2021
0,3.066037736,3.066037736,6/3/2021
0,3.915662651,3.915662651,6/4/2021
0,5.474452555,5.474452555,6/5/2021
0,6.726457399,6.726457399,6/6/2021
1,2.066115702,2.066115702,6/7/2021
0,3.225806452,3.225806452,6/8/2021
1,4.775280899,4.775280899,6/9/2021
0,3.79403794,3.79403794,6/10/2021
0,4.166666667,4.166666667,6/11/2021
1,5.147058824,5.147058824,6/12/2021
0,1.639344262,1.639344262,6/13/2021
0,3.255813953,3.255813953,6/14/2021
0,2.558139535,2.558139535,6/15/2021
0,2.01793722,2.01793722,6/16/2021
0,2.110817942,2.110817942,6/17/2021
0,4.304635762,4.304635762,6/18/2021
0,6.451612903,6.451612903,6/19/2021
1,3.405572755,3.405572755,6/20/2021
0,4.028436019,4.028436019,6/21/2021
0,4.481132075,4.481132075,6/22/2021
0,4.709141274,4.709141274,6/23/2021
1,4.45026178,4.45026178,6/24/2021
0,7.365439093,7.365439093,6/25/2021
0,10.03717472,10.03717472,6/26/2021
0,9.385113269,9.385113269,6/27/2021
0,4.073319756,4.073319756,6/28/2021
0,7.124010554,7.124010554,6/29/2021
0,6.140350877,6.140350877,6/30/2021
1,6.937799043,6.937799043,7/1/2021
1,7.804878049,7.804878049,7/2/2021
0,7.662835249,7.662835249,7/3/2021
0,8.333333333,8.333333333,7/4/2021
0,8.793969849,8.793969849,7/5/2021
0,8.904109589,8.904109589,7/6/2021
0,7.615230461,7.615230461,7/7/2021
1,11.80555556,11.80555556,7/8/2021
0,8.904109589,8.904109589,7/9/2021
0,11.11111111,11.11111111,7/10/2021
0,11.64179104,11.64179104,7/11/2021
0,11.27272727,11.27272727,7/12/2021
0,9.55165692,9.55165692,7/13/2021
0,10.34482759,10.34482759,7/14/2021
0,15.07246377,15.07246377,7/15/2021
0,6.896551724,6.896551724,7/16/2021
0,0,0,7/17/2021
